audit_id	requirement	expected_status	observed_status	evidence_path	evidence_sha256	note
A001	Phase 0 historical evidence and exclusions	pass	pass	paper/ssw_cuda/historical_evidence_receipt.json	47273214065ccd5e333cd82bc601e6e4c8461877c76917713b3247e107325cd6	Historical v1 and canonical-hybrid-v2 decisions preserved.
A002	Phase 1 CPU profile and Amdahl gate	pass	pass	paper/ssw_cuda/amdahl_v2_decision.json	dd8ac536e60cacea10ed4ec0ad1cc705dde797f308aa53a0e87c2affa8214fdd	B3 closed at 2.627762802x infinite-backend ceiling.
A003	Phase 2 CPU oracle	pass	pass	paper/ssw_cuda/cpu_oracle_binary_receipt.json	647d4a8141c75ecbc936a6a25ddc8fda607cba1f76d956de3ee0abe4eaf66941	Frozen binary and trace evidence remain bound.
A004	Phase 3 corpus and holdout policy	pass	pass	paper/ssw_cuda/corpus_receipt.json	a4d8b84e130a0857f059087b0ba13b7d5332fe1a504b435a4c320e67fbb2ea94	749 rows; fresh holdout not consumed.
A005	Phase 4 bounded architecture selection	pass	pass	paper/ssw_cuda/upstream_build_receipt.json	31eca6cd834ba7f199a9ff078a5fbfa5c46c7cebeb1bebabe5418c9481317706	Architecture C selected without linked/copied upstream code.
A006	Phase 5 exact L1/L2 checkpoint	pass	pass	paper/ssw_cuda/preselect_receipt.json	8b247a6afd170a36a518fe1a1bd40c591e5f05b2a888627a2acc133fedbad38f	623 primary GPU tasks; zero primary mismatch.
A007	Phase 6 exact L3 checkpoint	pass	pass	paper/ssw_cuda/forward_endpoint_receipt.json	026a27107c076028820d0d89db6b6c0b24e3237804a3caa7c56f1091d3755c09	625 primary cases and 841 supported executions exact.
A008	Phase 7 integrated checkpoint	pass_or_no_go	no_go	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	One implementation continuation contract failure; Phase 8 not authorized.
A009	Phase 8 GPU reverse-start	conditional	not_run_phase7_no_go	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Correctly skipped after Phase 7 no-go.
A010	Phase 9 GPU traceback/CIGAR	conditional	not_run_phase7_no_go	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Correctly skipped after Phase 7 no-go.
A011	Phase 10 full-GPU integration	conditional	not_run_phase7_no_go	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	No full GPU backend exists.
A012	Phase 11 fresh holdout promotion	conditional	not_run_phase7_no_go	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	No fresh holdout consumed.
