gap_id	capability	required_phase	current_evidence	classification	resolution_gate	owner_only	status
G01_user_cli	Single user-facing contract-aware CLI	1	scripts/run_fasim_gasal2_paper_benchmarks.py is a research harness and exposes baseline/candidate modes only	missing	One documented entry point implements safe verified fast-experimental and cpu-authority semantics	0	pending
G02_input_guard	Complete user input and environment preflight	1	scripts/run_fasim_gasal2_paper_benchmarks.py validates manifests and digests;fasim/Fasim-LongTarget.cpp has a query-length preflight	partial	User preflight covers FASTA contract GPU memory environment collision and dry-run rules and fails closed	0	pending
G03_comparator	Authority/candidate contract comparator	1	scripts/compare_fasim_segmented_contract.py;scripts/compare_fasim_tfosorted_tfo_contract.py	available	Existing score stability Nt tie and row-set logic is reused by the user workflow	0	pass
G04_json_report	Schema-validated user JSON run report	1	scripts/run_fasim_gasal2_paper_benchmarks.py writes atomic research receipts without a user report schema	partial	Run report schema and all success fallback and failure fixtures validate	0	pending
G05_container_lock	Reproducible container or environment lock	5	reproduce/Dockerfile;reproduce/environment_manifest.json;reproduce/environment.md	partial	Release-candidate container or equivalent builds and passes clean CPU smoke with CUDA guidance	0	pending
G06_ci	CPU CI and smoke validation	5	.github directory absent and no GitLab CI file exists	missing	CI executes CPU smoke CLI fixtures schema validation and historical lightweight gates	0	pending
G07_external_tool	Pinned current external triplex tool wrapper	4	paper/related_work_inventory.tsv contains literature only;no external wrapper exists	missing	At least one licensed installable tool runs on the frozen real panel with failures and native semantics retained	0	pending
G08_release_metadata	Public release citation archive and DOI metadata	5	LICENSE;paper/RELEASE_CHECKLIST.md;no CITATION.cff codemeta Zenodo metadata tag release or DOI	partial	Codex prepares templates and checksums;owner approves version licenses public release archive DOI and signed tag	1	pending
G09_manuscript_template	Bioinformatics-sized manuscript template	7	paper/outline.md;reproduce/render_manuscript_source_kit.py	partial	Application Note manuscript one main figure Supplementary cover letter and availability statements pass audits	0	pending
G10_journal_live_verification	Current official Author Guidelines Scope Guidelines and Submission Online body text	7	paper/bioinformatics/journal_requirements.md records 2026-07-24 official URL checks and Cloudflare challenge	access_blocked	Owner opens all three official pages and confirms exact current length figure initial-submission and Supplementary rules before manuscript freeze	1	blocked
G11_owner_metadata	Authors affiliations ORCIDs funding CRediT corresponding author licenses version DOI tag and portal answers	8	paper/bioinformatics/owner_metadata_needed.md	owner_only	Owner supplies and approves each value;Codex only validates presence and consistency	1	pending
G12_second_gpu_architecture	Optional validation on a second GPU architecture	6	Two local NVIDIA GeForce RTX 4090 devices are the same compute capability 8.9 architecture	optional_unavailable	Run the frozen protocol on a genuinely different GPU architecture or record Phase 6 as not_available	0	pending
