attempt_id	stage	validation_id	arm	order	repeat_id	query_id	target_id	query_path	target_path	query_sha256	target_sha256	authority_reference_kind	authority_reference	authority_reference_sha256	runtime_commit	hybrid_binary_sha256	authority_binary_sha256	runner_commit	runner_sha256	runtime_receipt_sha256	backend_timeout_seconds	gpu_physical_index	contract	claim_role	promotion_eligible	formal_source_data	retry_policy	expected_artifact_root	status
v2perf_vp001__repeat00_a	performance-pilot	vp001__repeat00	A	1	0	aq005	at0199	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0199.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	6faa299bddd51b8be2cd5172ce080a57283be634f6fc4dd2c0c132bf73fd8f51	none	NA	NA	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	NA	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp001__repeat00_a	preregistered_not_run
v2perf_vp001__repeat00_h	performance-pilot	vp001__repeat00	H	2	0	aq005	at0199	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0199.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	6faa299bddd51b8be2cd5172ce080a57283be634f6fc4dd2c0c132bf73fd8f51	stage_attempt	v2perf_vp001__repeat00_a	derived_from_completed_stage_A_attempt	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	0	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp001__repeat00_h	preregistered_not_run
v2perf_vp001__repeat01_a	performance-pilot	vp001__repeat01	A	3	1	aq005	at0199	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0199.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	6faa299bddd51b8be2cd5172ce080a57283be634f6fc4dd2c0c132bf73fd8f51	none	NA	NA	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	NA	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp001__repeat01_a	preregistered_not_run
v2perf_vp001__repeat01_h	performance-pilot	vp001__repeat01	H	4	1	aq005	at0199	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0199.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	6faa299bddd51b8be2cd5172ce080a57283be634f6fc4dd2c0c132bf73fd8f51	stage_attempt	v2perf_vp001__repeat01_a	derived_from_completed_stage_A_attempt	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	1	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp001__repeat01_h	preregistered_not_run
v2perf_vp001__repeat02_a	performance-pilot	vp001__repeat02	A	5	2	aq005	at0199	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0199.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	6faa299bddd51b8be2cd5172ce080a57283be634f6fc4dd2c0c132bf73fd8f51	none	NA	NA	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	NA	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp001__repeat02_a	preregistered_not_run
v2perf_vp001__repeat02_h	performance-pilot	vp001__repeat02	H	6	2	aq005	at0199	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0199.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	6faa299bddd51b8be2cd5172ce080a57283be634f6fc4dd2c0c132bf73fd8f51	stage_attempt	v2perf_vp001__repeat02_a	derived_from_completed_stage_A_attempt	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	0	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp001__repeat02_h	preregistered_not_run
v2perf_vp002__repeat00_a	performance-pilot	vp002__repeat00	A	7	0	aq005	at0432	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0432.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	17878a20b74566170b7a11d90620d341a4d767626f50e6086034a36e440b0660	none	NA	NA	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	NA	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp002__repeat00_a	preregistered_not_run
v2perf_vp002__repeat00_h	performance-pilot	vp002__repeat00	H	8	0	aq005	at0432	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0432.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	17878a20b74566170b7a11d90620d341a4d767626f50e6086034a36e440b0660	stage_attempt	v2perf_vp002__repeat00_a	derived_from_completed_stage_A_attempt	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	1	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp002__repeat00_h	preregistered_not_run
v2perf_vp002__repeat01_a	performance-pilot	vp002__repeat01	A	9	1	aq005	at0432	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0432.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	17878a20b74566170b7a11d90620d341a4d767626f50e6086034a36e440b0660	none	NA	NA	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	NA	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp002__repeat01_a	preregistered_not_run
v2perf_vp002__repeat01_h	performance-pilot	vp002__repeat01	H	10	1	aq005	at0432	reproduce/bioinformatics/application_inputs/queries/aq005.fa	reproduce/bioinformatics/application_inputs/targets/at0432.fa	a29f6bd6b84b79c9bc6f728ed8c6080eeb1ae18dc0cd27c55a2eed6e2efd66bc	17878a20b74566170b7a11d90620d341a4d767626f50e6086034a36e440b0660	stage_attempt	v2perf_vp002__repeat01_a	derived_from_completed_stage_A_attempt	17525a6d02e5c8d11a2359ae540e117dc08c8f99	ec40144f172711347068443f99f2ff1de02a192051cb2ada4f2c2476d4ff0cd9	75c59f80ee329fe913edce71ea8a0ec1a63620a978b15d3673f636d62268822e	ec9ebb1c5bc1caa14d1a70e8cae89dcc6f2e16f9	41e19d9195dfa1b19746f58a2f225ea7923ca3fe8d23a614370bd74b095e8e6d	5bf81a89ff0177c3616c635f81b64c48a36f63f6dc675a10c3eeccc8d9e865bd	3600	0	all-ranked-top5-canonical-row-v2	fixed_performance_promotion	1	1	none	performance-pilot/v2perf_vp002__repeat01_h	preregistered_not_run
