upstream_id	layer	upstream_observable	cpu_authority_requirement	semantic_gap	reuse_decision	evidence
accelign	L0	Configurable alphabet; affine scores; scalar int/float and packed half2/short2; local 8-bit path	Configured A/C/G/T/U/N translation; +5/-4; gap open 16; extend 4; byte-first then full word recompute	Configuration can represent the scalar scores but does not reproduce the frozen byte/word transition or input fail-closed boundary	Implement in-tree; use upstream API shape only	README.md;include/accelign/local_alignment/state_affine.cuh
accelign	L1	Returns alignment score; does not expose the complete per-reference-column maximum vector	Exact final-width maxColumn vector after lazy-F	Required L1 observable is absent	Implement in-tree	include/accelign/local_alignment/kernels_scoreonly.cuh
accelign	L2	No LongTarget scoreInfo threshold/run grouping API	Strict greater-than threshold; 1-4 base adjacency; first equal maximum; increasing output order	LongTarget-specific selection is absent	Implement in-tree	docs/ssw_cuda/DP_CONTRACT.md
accelign	L3	Returns score plus exclusive query/subject end positions; equal-score reduction explicitly prefers smaller query end	Strictly greater column scan keeps earliest reference end; smallest logical query end within that column	Subject-end tie behavior and packed reduction order are not the CPU SSW observable	Reuse batching/tile scheduling only; implement recurrence and endpoint reduction in-tree	include/accelign/local_alignment/kernels_startendpos.cuh:185-225
accelign	L4	Computes start positions in a separate reversed-input kernel	Reverse through forward end; descending reference scan terminates at exact score; frozen query-lane tie and mapping	Reverse domain and tie behavior require direct differential proof and cannot be assumed equivalent	Implement in-tree	include/accelign/local_alignment/kernels_startendpos.cuh:1595-1785
accelign	L5	No canonical CIGAR output in the evaluated endpoint API	Frozen band widening; exact E/F/diagonal ties; BAM M/I/D merge and stop rule	Required traceback observable is absent	No direct reuse	examples/low-level/alignment_endpoints.cu
accelign	scheduling	One-to-one contiguous batches; length-dependent configs; cooperative groups; single-tile and temporary-storage multi-tile paths	Batching must preserve per-attempt order and exact L1-L5 semantics	Scheduling is separable from semantics	Design reference for length bins and forward tiles only	README.md;include/accelign/alignment_input_data.cuh
accelign	precision	32-bit scalar path and faster packed 16-bit paths with documented overflow bounds	Exact supported envelope with auditable byte-to-word recompute	Packed path cannot be promoted without exact overflow handling	Start with int32 reference; optimize only behind differential gates	README.md ScoreType section
g3sa	L0	Minimap2 gridded traceback uses global/banded recurrence and N penalty 1; BWA path uses KSW scoring	Modified local SSW scoring and N penalty 4 with frozen affine update order	Alignment mode; scoring; and recurrence differ	Do not copy semantics	minimap2/include/tb_kernel.h;minimap2/src/tb_kernel.cu
g3sa	L1	Forward kernels retain selected block boundaries but do not export LongTarget maxColumn	Complete per-reference-column maxima	Required vector and selection interface are absent	Implement in-tree	minimap2/src/agatha_kernel.cu
g3sa	L2	No LongTarget scoreInfo grouping or attempt-order contract	Exact threshold/run/tie/order selection	LongTarget-specific selection is absent	Implement in-tree	docs/ssw_cuda/DP_CONTRACT.md
g3sa	L3	Uses GASAL/Agatha endpoint results within minimap2 extension workflow	Frozen CPU SSW forward score/ref/read endpoint tuple	Endpoint ownership and tie rules differ	Implement in-tree	minimap2/src/gasal_align.cu;minimap2/src/agatha_kernel.cu
g3sa	L4	No equivalent modified-SSW reverse-start contract in the evaluated path	Exact reverse termination and mapping	Required observable is absent	Implement in-tree	docs/ssw_cuda/ENDPOINT_CONTRACT.md
g3sa	L5	Stores H/E/F block rows and columns; recomputes a 64x64 block direction matrix during traceback; emits merged BAM CIGAR	Source-defined band widening and extend/F/diagonal equality rules; stop at query row zero	G3SA diagonal tie partly resembles authority but E/F; open/extend; boundary; global/banded; and N semantics differ	Reuse checkpoint/recompute architecture only; implement every recurrence and tie in-tree	minimap2/src/tb_kernel.cu:18-230;minimap2/src/agatha_kernel.cu:669-688
g3sa	L5_memory	Boundary storage is proportional to matrix cells divided by block dimension and uses dynamic per-task offsets	Bounded memory with auditable overflow and supported-envelope checks	Useful reduction but still large for broad rectangles	Use as a reference for Phase 9 checkpoint sizing; retain dense oracle first	minimap2/src/device_mem.cu:209-211;minimap2/include/common.h
g3sa	L5_bwa	BWA ksw_global3 stores 16x16 grid borders then recomputes each traversed grid and emits BAM CIGAR	Modified SSW banded local rectangle and its own canonical tie/stop rules	KSW global semantics cannot replace authority	Structural reference only	bwa/src/ksw.cu:1065-1282
g3sa	license	Repository declares GPL-3.0 and bundles modified BWA/minimap2 sources	Distribution must remain compatible with this AGPL project and preserve all notices	Component-level provenance and legal review are not complete	No code copy or link in this epoch; cite paper/structure only	LICENSE;README.md
