claim_id	claim_text	disposition	contract_scope	evidence_path	evidence_sha256	caveat
C01	Canonical-hybrid-v2 preserved its frozen correctness contract but was 3.882109x slower than authority.	supported	historical canonical-hybrid-v2 fixed pilot	paper/bioinformatics/canonical_hybrid_v2_performance_receipt.json	765a77c9f3ee5a4a544a1d59a11a20868c94217843aa433942332c860dec7219	Historical track remains closed; this is not SSW-CUDA-v1 performance.
C02	The conservative addressable fraction is 0.619448148 and the infinite-backend Amdahl ceiling is 2.627762802x.	supported	Phase 1 fixed CPU authority workloads	paper/ssw_cuda/amdahl_v2_decision.json	dd8ac536e60cacea10ed4ec0ad1cc705dde797f308aa53a0e87c2affa8214fdd	The original 10x B3 threshold was not lowered.
C03	GPU L1/L2 matched the frozen authority on 623 supported primary tasks with zero selection false negatives.	supported	Phase 5 consumed regression corpus	paper/ssw_cuda/preselect_receipt.json	8b247a6afd170a36a518fe1a1bd40c591e5f05b2a888627a2acc133fedbad38f	Regression checkpoint only; no fresh holdout promotion.
C04	GPU L3 endpoints matched the frozen authority on 625 primary cases and 841 supported executions.	supported	Phase 6 consumed regression corpus	paper/ssw_cuda/forward_endpoint_receipt.json	026a27107c076028820d0d89db6b6c0b24e3237804a3caa7c56f1091d3755c09	Standalone endpoint checkpoint only.
C05	All 26 complete Phase 7 attempts matched the declared clustered score, stability, and Nt Top-5 contracts.	limited	24 consumed regressions plus 2 development observations	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	The 27th attempt failed the continuation contract, so the backend is not promoted.
C06	The integrated Phase 7 forward-hybrid is safe or exact.	forbidden	integrated L1-L5 path	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	One deterministic implementation contract failure makes this claim false.
C07	The exact SSW-CUDA work establishes 10x safe end-to-end acceleration.	forbidden	Bioinformatics B3	paper/ssw_cuda/amdahl_v2_decision.json	dd8ac536e60cacea10ed4ec0ad1cc705dde797f308aa53a0e87c2affa8214fdd	B3 is closed by Amdahl before Phase 7 and no formal B3 run exists.
C08	A fresh independent holdout promoted a full GPU contract.	not_established	Phases 8-11	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Fresh holdout consumed=false and Phase 8-12 were not run.
C09	Full TFOsorted output is an exact GPU replacement.	forbidden	L8	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	L8 is permanently diagnostic-only.
C10	The publishable outcome is a forward checkpoint and negative-result methods handoff, not a release-ready backend.	supported	program-level final decision	paper/ssw_cuda/forward_hybrid_decision.json	d0263d390ad0737275457215ef81ac61658a814461de37bbe5921e54f1979fb1	Requires the limitations and manuscript handoff to accompany any report.
