path	role	source_commit	size_bytes	sha256	git_blob_sha1
Makefile	build_contract	9f87aace6d96cf8142e3816299f04defae5710e4	239254	36d3df7e9470f17837aeef97ec9982861a2a3c15f3bfc34b8939ced39e42c9e0	6574f57806f519515fdc5769270e1ae921d69c90
cuda/prealign_cuda.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	22250	9d98552077cef989a3e0cfa3cf487b01ccf1ae5179bfb807a63e3400d49fe70b	4d6db0450c0d4bc20c651969b9c9aa9593bcf526
cuda/prealign_cuda_stub.cpp	cpu_backend_stub	9f87aace6d96cf8142e3816299f04defae5710e4	30369	ae98d526867e5a805466cc6beb877819b5160f9fb249f44ac7e414e100dd132a	83d43f55d2c861398a92fdb7d78809fe3be004f2
fasim/Fasim-LongTarget.cpp	authority_call_chain	9f87aace6d96cf8142e3816299f04defae5710e4	1113344	23939eb909c07fb673de82728ebbf14116af19e88d645cfc738ab56e9e082fe9	6bdc1322d5ae588e40ee3a29289755ee28cd613c
fasim/fastSim.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	23877	81e7726ce1a9c318b2983916a34cc2584a3458c8df361b9dd92249440eb93638	2cfb7b4e6fba3a49dc020bc51ebf63fe4cefbf3d
fasim/fastsim.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	107357	5a3edaff4e4c7cb8f90a0b7570102469f8db3686551b8316b87be5a63d03c13d	768d7fee68eaca25566285fc78f7c3f966e2df01
fasim/gasal2_align_bridge.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	151317	582121c9a3477501b1c7d908363f19ca43fd1468977c753232be8bbf9406edfd	a43be0fb18700dad96a5caa74928c907d00c98bf
fasim/gasal2_align_bridge_stub.cpp	cpu_backend_stub	9f87aace6d96cf8142e3816299f04defae5710e4	100466	345d6e32bc038afa340d4d39712643a7a1b523f069239a9afc74a894ad0c775e	cc450833b2259b935bc1cbdc2797e931ec02e8a4
fasim/gasal2_traceback_certificate.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	2760	65ffee8a7a5608e3137f48c437eedb4bcb5a4ddfe0d82d98274e34eab58af47f	ddb0fd4ff4e6341966c8c9ed181a660823491378
fasim/rules.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	11644	d985ffc3895cbb9550fd4c867288d92a68a19b42c28a2125254c04553ccb90e0	3faa226a02e4fc71c052796537dca1b44962f290
fasim/sim.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	29540	4fd70c71bfdc459f16017b7bda78fc12f69e45d1ef2a3bb0319ea3b1d54a8c24	9617cacce7c5319dffbedc035673bf527698e0b2
fasim/ssw.h	modified_ssw_oracle	9f87aace6d96cf8142e3816299f04defae5710e4	9917	4b6e61a270f48c53dedbe770a7a562c7d976a2b9275741894cac65206a0a1af0	5b365c7583dea3c45b86aa05d034ee13ef7d8475
fasim/sswNew.cpp	modified_ssw_oracle	9f87aace6d96cf8142e3816299f04defae5710e4	72342	b4b2f3167354936968108ab4ace2b577704b7aebeebcb206bce63ef1c5b30870	d389a6ac68e3c9f716b03ef27fc950e3cac0d8f0
fasim/ssw_cpp.cpp	modified_ssw_oracle	9f87aace6d96cf8142e3816299f04defae5710e4	29278	55072fa4ee52d68b594ee66e3aa075a38374201818b5ec0e508d884682c5c614	9cc9fc50e4e3872331b4926daa6a12378d20870b
fasim/ssw_cpp.h	modified_ssw_oracle	9f87aace6d96cf8142e3816299f04defae5710e4	9381	b4cea0a5352f15e8a69ed7c7cf8fb406fb15656d903add7c7988c4bfa1488ce7	6cd04f6513a96abff03dde44cf56e4219bcbc700
fasim/stats.h	runtime_header	9f87aace6d96cf8142e3816299f04defae5710e4	25281	25376d0e556d261723aced37fad5662152e647157f32109e02ce6e08a58a7868	b8f8b7677ce0fd9996c0e614963d5f6b0379a55d
