attempt_id	execution_stage	repeat_id	device	case_id	corpus_partition	case_class	execution_tier	source_kind	query_sha256	reference_sha256	pair_digest	threshold	query_length	reference_length	expected_status	observed_status	numeric_path	cpu_column_digest	gpu_column_digest	column_equal	cpu_scoreinfo_digest	gpu_scoreinfo_digest	scoreinfo_equal	driver_returncode	formal_contract
p5-primary-tiny	primary	0	0	tiny-ac-q00-r00	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	0f9b57a6d733d54b263696680d1cd9ec05cc91f0959de7eeb87a0edb9e62879a	4	1	1	ok	complete	byte8	af132f815a1fbf27	af132f815a1fbf27	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r01	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	79da5284a74518c64fb59a82d6ea003f7ba6b14a9257291c3e39b6b58e5454c8	4	1	1	ok	complete	byte8	842360170b01e222	842360170b01e222	1	47fe0d7eaf8e51e3	47fe0d7eaf8e51e3	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r02	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	907a35b7f6afb7fb4052991290a71722c5f02c156fd35c6df6d4dfc0e5fcc8a7	4	1	2	ok	complete	byte8	215a0901648ef4c1	215a0901648ef4c1	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r03	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	472e73d796e20aa8ff9059e6316f218e0322548f661ec4dc267507ed66317404	7850821f04c430f6b21ac183bb8d95b68ff3044a2cee790454b35aa3c0bce20a	4	1	2	ok	complete	byte8	215a0901648ef4c1	215a0901648ef4c1	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r04	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	4b650e5c4785025dee7bd65e3c5c527356717d7a1c0bfef5b4ada8ca1e9cbe17	ef8fd9bd21e2c4dfc8bf77fa0327b75772f524694298f7748127e1ee19f9b345	4	1	2	ok	complete	byte8	87578ffe9ecfc724	87578ffe9ecfc724	1	7c4d272abbd29fe6	7c4d272abbd29fe6	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r05	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	a56362a10c816abf206d72cb914e2d5ca454eb9c7e744f88b1a1422c379e9942	1475687e0dc7ce532d7902425909fd98d7dc42fffd9a165fd79f801688ddb20f	4	1	2	ok	complete	byte8	9a5d4ea665907e61	9a5d4ea665907e61	1	47fe0d7eaf8e51e3	47fe0d7eaf8e51e3	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r06	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	cb1ad2119d8fafb69566510ee712661f9f14b83385006ef92aec47f523a38358	1192e7bded93dc1330a9a79ea18c08ba9fef7f9a71dcbf431a728ed421777f1e	4	1	3	ok	complete	byte8	812e4eeda7d68605	812e4eeda7d68605	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r07	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	d5ced0c0b64bf1582582acb55425f70c12991c397368a8bbad06bb0a5d2cfeb7	a24a757afc77634f0b47766d0325d92aacf138421155b634c4d20432fd049924	4	1	3	ok	complete	byte8	812e4eeda7d68605	812e4eeda7d68605	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r08	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	b32062bf7b8bed45bc6c7bedfe1c093bf2d45c0b87973bab9e1ef4b85497f469	95c2fa1d7057c6229f8e35464ceaa703d9793bee12dfd0c86cc5723eaee97284	4	1	3	ok	complete	byte8	812e4eeda7d68605	812e4eeda7d68605	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
p5-primary-tiny	primary	0	0	tiny-ac-q00-r09	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	2dde6d03ddaa287e3ac95b4befe8f38e8766a35092fc01e47e28d86c7a29e412	4f80389281128bce14596a1de027bdd6fcf0fc9dbd09377af68e362aa8161536	4	1	3	ok	complete	byte8	812e4eeda7d68605	812e4eeda7d68605	1	6b449f74be9c1be7	6b449f74be9c1be7	1	0	L1_L2_exact
