claim_id	exact_wording	scientific_object	contract	population_or_operating_envelope	source_data	analysis_code	figure_or_table	limitations	evidence_role	status
HIST_STRICT_CANONICAL_ROW_V1	The strict canonical-row v1 GPU traceback path remains a verified-only contract and did not pass GPU-only row equality.	canonical_representative_row	strict_canonical_row_v1	historical Phase 2 holdout	paper/bioinformatics/phase2_decision.md	scripts/check_bioinformatics_phase2.sh	NA	Endpoint and CIGAR representation mismatches remain.	historical_anchor	no_go
HIST_SEQUENTIAL_VERIFIED_V1	Sequential GPU candidate plus complete CPU authority cannot establish the required acceleration gate.	sequential_verified_output	sequential_verified_v1	historical Phase 3 pilot	paper/bioinformatics/phase3_postpilot_decision.json	scripts/check_bioinformatics_phase3_pilot.sh	NA	The complete CPU authority remains on the critical path.	historical_anchor	no_go
HIST_CANONICAL_HYBRID_V2_CORRECTNESS	Canonical-hybrid-v2 preserved all three clustered Top-5 contracts on its frozen correctness panels.	clustered_TFO_representative_row	canonical_hybrid_v2	frozen regression and former fresh holdout	paper/bioinformatics/canonical_hybrid_v2_regression_decision.md;paper/bioinformatics/canonical_hybrid_v2_holdout_decision.md	scripts/check_bioinformatics_canonical_hybrid_v2_regression.sh;scripts/check_bioinformatics_canonical_hybrid_v2_holdout.sh	NA	Full-output equality was 35/36 in regression and is not promoted.	historical_anchor	pass
HIST_CANONICAL_HYBRID_V2_PERFORMANCE	Canonical-hybrid-v2 failed the frozen performance gate and its rescue track is closed.	clustered_TFO_representative_row	canonical_hybrid_v2	frozen 18-attempt performance pilot	paper/bioinformatics/canonical_hybrid_v2_performance_decision.md	scripts/check_bioinformatics_canonical_hybrid_v2_performance.sh	NA	Primary A/H speedup was 0.257592x and hybrid slowdown was 3.882109x.	historical_anchor	no_go
HIST_EXACT_SSW_CUDA	Exact SSW-CUDA is limited to forward or reverse checkpoint evidence; no safe full-GPU backend was promoted.	modified_SSW_checkpoint	exact_ssw_cuda	frozen SSW-CUDA operating envelope	paper/ssw_cuda/final_decision.json	scripts/check_ssw_cuda_all.sh	NA	Phase 7 was no-go and Phase 8-12 were not authorized.	historical_anchor	ssw_cuda_forward_or_reverse_checkpoint_only
HIST_38_32X	The 38.320882x H19 short-query result is a historical candidate-performance anchor only.	clustered_TFO_representative_row	fast_topk_score_stability_nt	historical H19 chr21+chr22 paper workload	paper/PAPER_PREP_STATUS.md	reproduce/collect_results.py	paper figures 1-2	It is not a biological_topk_candidate_site_v1 speed estimate.	historical_anchor	historical_candidate_performance_anchor
BIO_TOPK_C1	GASAL2-LongTarget preserves Top-K clustered TFO/query-target candidate-site sets with Top-1 retention under biological_topk_candidate_site_v1.	clustered_TFO_query_target_candidate_site	biological_topk_candidate_site_v1	pending Phase 1 fixed operating envelope	PENDING	PENDING	PENDING	Rank order and strict rows remain diagnostic only.	fresh_concordance_promotion	proposed
BIO_TOPK_C2	GPU predictions are non-inferior to CPU Fasim on independent experimental endpoints and show absolute utility above prevalence.	clustered_TFO_query_target_candidate_site	biological_topk_candidate_site_v1	pending independent experimental panel	PENDING	PENDING	PENDING	CPU reference is not biological truth; all four co-primary endpoints must pass.	experimental_utility_promotion	proposed
BIO_TOPK_C3	The validated gpu-screen path meets the preregistered end-to-end widening gate within the fixed operating envelope.	clustered_TFO_query_target_candidate_site	biological_topk_candidate_site_v1	pending fresh performance panel	PENDING	PENDING	PENDING	Historical 38.320882x cannot be substituted.	performance_promotion	proposed
BIO_TOPK_C4	Endpoint CIGAR and full-row differences remain diagnostic when the frozen matcher establishes a unique candidate-site match.	clustered_TFO_query_target_candidate_site	biological_topk_candidate_site_v1	pending Phase 1 matcher freeze	PENDING	PENDING	PENDING	No full-output or complete rank-order equivalence claim is implied.	diagnostic_only	proposed
