attempt_id	execution_stage	backend	scope	unique_case_count	repeat_id	order	device	gpu_assignment	contract_layers	maximum_total_dp_cells	timeout_seconds	retry_policy	claim_role	formal_source_data	runner_commit_policy	expected_status	artifact_root
p6-primary-tiny	primary	ssw_cuda_exact_forward_v1	tiny_exhaustive	196	0	1	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-primary-tiny
p6-primary-adversarial	primary	ssw_cuda_exact_forward_v1	adversarial_compact	30	0	2	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-primary-adversarial
p6-primary-compact-fuzz	primary	ssw_cuda_exact_forward_v1	compact_fuzz	128	0	3	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-primary-compact-fuzz
p6-primary-known	primary	ssw_cuda_exact_forward_v1	known_forward	4	0	4	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-primary-known
p6-primary-large	primary	ssw_cuda_exact_forward_v1	large	267	0	5	0	logical_0_physical_0	L1,L3	2147483648	1800	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-primary-large
p6-cpu-vector-reducer	cpu_forward_vector_reducer	ssw_cuda_exact_forward_v1	frozen_hq10_hq11_forward_columns	2	0	6	0	logical_0_physical_0	L1,L3	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-cpu-vector-reducer
p6-determinism-r00	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	0	7	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r00
p6-determinism-r01	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	1	8	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r01
p6-determinism-r02	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	2	9	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r02
p6-determinism-r03	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	3	10	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r03
p6-determinism-r04	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	4	11	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r04
p6-determinism-r05	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	5	12	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r05
p6-determinism-r06	determinism	ssw_cuda_exact_forward_v1	fixed_18_case_subset	18	6	13	0	logical_0_physical_0	L1,L3	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/forward/formal-v1/p6-determinism-r06
