attempt_id	execution_stage	backend	scope	unique_case_count	repeat_id	order	device	gpu_assignment	contract_layers	threshold_policy	maximum_total_dp_cells	timeout_seconds	retry_policy	claim_role	formal_source_data	runner_commit_policy	expected_status	artifact_root
p5-primary-tiny	primary	ssw_cuda_preselect_v1	tiny_exhaustive	196	0	1	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-primary-tiny
p5-primary-adversarial	primary	ssw_cuda_preselect_v1	adversarial_compact	30	0	2	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-primary-adversarial
p5-primary-compact-fuzz	primary	ssw_cuda_preselect_v1	compact_fuzz	128	0	3	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-primary-compact-fuzz
p5-primary-known	primary	ssw_cuda_preselect_v1	known_hq10_hq11	2	0	4	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-primary-known
p5-primary-large	primary	ssw_cuda_preselect_v1	large	267	0	5	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	1800	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-primary-large
p5-invalid-adv-empty-query	unsupported	ssw_cuda_preselect_v1	adv-empty-query	1	0	6	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-invalid-adv-empty-query
p5-invalid-adv-empty-reference	unsupported	ssw_cuda_preselect_v1	adv-empty-reference	1	0	7	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-invalid-adv-empty-reference
p5-invalid-adv-non-ascii	unsupported	ssw_cuda_preselect_v1	adv-non-ascii	1	0	8	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-invalid-adv-non-ascii
p5-invalid-adv-nul	unsupported	ssw_cuda_preselect_v1	adv-nul	1	0	9	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	60	none	regression_only	1	committed_HEAD_clean_at_start	fail_closed	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-invalid-adv-nul
p5-determinism-r00	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	0	10	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r00
p5-determinism-r01	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	1	11	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r01
p5-determinism-r02	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	2	12	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r02
p5-determinism-r03	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	3	13	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r03
p5-determinism-r04	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	4	14	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r04
p5-determinism-r05	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	5	15	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r05
p5-determinism-r06	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	6	16	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r06
p5-determinism-r07	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	7	17	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r07
p5-determinism-r08	determinism	ssw_cuda_preselect_v1	fixed_16_case_subset	16	8	18	0	logical_0_physical_0	L1,L2	min_65_static_max_score_upper_bound_minus_1	2147483648	300	none	regression_only	1	committed_HEAD_clean_at_start	complete	.paper-artifacts/ssw-cuda-v1/preselect/formal-v1/p5-determinism-r08
