validation_instance_id	workload_id	repeat_id	primary_instance	ranking_mode	comparison_status	reference_candidate_count	candidate_candidate_count	matched_count	informative_for_recovery	binary_gate_denominator_eligible	binary_success	double_empty	recall	precision	top1_retained	complete_set_success	rbo5_diagnostic	ambiguous_matching	technical_failure	technical_failure_reason	input_identity_pass	matching_started	strict_row_equal	classifications	evidence_role
bts3_w001__repeat00	bts3_w001	0	1	score	scientific_mismatch	5	5	4	1	1	0	0	4/5	4/5	1	0	43439/50000	0	0	NA	1	1	0	true candidate-site substitution;extra candidate site;missing candidate site;strict-row diagnostic mismatch	fresh_concordance_promotion
bts3_w001__repeat00	bts3_w001	0	1	stability	scientific_mismatch	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	same candidate site endpoint shift	fresh_concordance_promotion
bts3_w001__repeat00	bts3_w001	0	1	nt	scientific_mismatch	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	same candidate site endpoint shift	fresh_concordance_promotion
bts3_w002__repeat00	bts3_w002	0	1	score	pass	4	4	4	1	1	1	0	1	1	1	1	43439/50000	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w002__repeat00	bts3_w002	0	1	stability	pass	4	4	4	1	1	1	0	1	1	1	1	43439/50000	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w002__repeat00	bts3_w002	0	1	nt	pass	4	4	4	1	1	1	0	1	1	1	1	43439/50000	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w003__repeat00	bts3_w003	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	same candidate site endpoint shift	fresh_concordance_promotion
bts3_w003__repeat00	bts3_w003	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	same candidate site endpoint shift	fresh_concordance_promotion
bts3_w003__repeat00	bts3_w003	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	same candidate site endpoint shift	fresh_concordance_promotion
bts3_w004__repeat00	bts3_w004	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w004__repeat00	bts3_w004	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w004__repeat00	bts3_w004	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w005__repeat00	bts3_w005	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w005__repeat00	bts3_w005	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w005__repeat00	bts3_w005	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w006__repeat00	bts3_w006	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w006__repeat00	bts3_w006	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w006__repeat00	bts3_w006	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w007__repeat00	bts3_w007	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w007__repeat00	bts3_w007	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w007__repeat00	bts3_w007	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w008__repeat00	bts3_w008	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w008__repeat00	bts3_w008	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w008__repeat00	bts3_w008	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w009__repeat00	bts3_w009	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w009__repeat00	bts3_w009	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w009__repeat00	bts3_w009	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w010__repeat00	bts3_w010	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w010__repeat00	bts3_w010	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w010__repeat00	bts3_w010	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w011__repeat00	bts3_w011	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w011__repeat00	bts3_w011	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w011__repeat00	bts3_w011	0	1	nt	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w012__repeat00	bts3_w012	0	1	score	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
bts3_w012__repeat00	bts3_w012	0	1	stability	pass	5	5	5	1	1	1	0	1	1	1	1	1	0	0	NA	1	1	1	none	fresh_concordance_promotion
